1419609515309,1
1419609518312,1
1419609521314,1
1419609524316,1
1419609527315,1
1419609530317,1
1419609533319,1
1419609536321,1
1419609539324,1
1419609542326,1
1419609545333,1
1419610342719,1
1419610348310,1
1419610353339,1
1419610353912,1
1419610395235,1
1419610395674,1
1419610396107,1
1419610879923,1
1419612253881,1
1419612260458,1
1419612261510,1
1419613884725,1
1419615563775,1
1419616389087,1
1419840555168,60.00
1419840558978,107.00
1419840559559,130.00
1419844942062,105.00
1419844942481,72.00
1419844942902,72.00
1419844944458,13.00
1419844945404,10.00
1419844946106,87.00
1419844946711,8.00
1419844947576,10.00
1419844948211,72.00
1419844948804,15.00
1419844949628,19.00
1419844950271,49.00
1419844950684,106.00
1419844951111,76.00
1419845087349,135.00
1419845099823,137.00
1419845123175,131.00
1419845140238,129.00
1419845204161,127.00
1419845248613,137.00
1419845251422,129.00
1419845295878,131.00
1419845361395,130.00
1419845362530,130.00
1419845363688,150.00
1419845386543,52.00
1419845386985,53.00
1419845389050,52.00
1419845391564,55.00
1419846912687,49.00
1419846944453,136.00
1419846979256,35.00
1419847083846,44.00
1419848168295,27.00
1419849080577,35.00
1419849440487,28.00
1419850745688,31.00
1419850783833,21.00
1419850793089,28.00
1419851062715,125.00
1419851063224,46.00
1419851693375,30.00
1419853892529,68.00
1419853947077,41.00
1419853947511,49.00
1419853951394,39.00
1419858519623,29.00
1419858803159,48.00
1419858938964,37.00
1419860983051,31.00
1419861110230,37.00
1419861128010,37.00
1419861158134,140.00
1419861831704,141.00
1419861835784,115.00
1419862057883,78.00
1419928652476,28.00
1419928652915,132.00
1419928655191,52.00
